# Time,Q BCung,Q NMuc,Q LChau,Q TBu,Q HBinh
1/1/1961,35.8,24,373,482,606
1/2/1961,34.8,24,373,482,598
1/3/1961,34.8,24,370,477,594
1/4/1961,33.8,24,367,473,590
1/5/1961,33.8,23.2,367,464,582
1/6/1961,34.8,23.2,365,464,574
1/7/1961,34.8,22.5,359,459,566
1/8/1961,34.8,23.2,359,455,562
1/9/1961,36.9,23.2,359,455,558
1/10/1961,36.9,23.2,353,464,558
1/11/1961,33.8,22.5,348,446,558
1/12/1961,32.7,21.7,348,437,550
1/13/1961,30.6,21.7,345,428,534
1/14/1961,30.6,21.7,345,428,522
1/15/1961,32.7,21,345,437,518
1/16/1961,34.8,21,345,437,522
1/17/1961,32.7,20.2,342,437,526
1/18/1961,30.6,20.2,337,428,526
1/19/1961,29.6,20.2,337,419,510
1/20/1961,29.6,20.2,331,410,502
1/21/1961,28.5,20.2,328,410,494
1/22/1961,28.5,19.4,325,405,490
1/23/1961,27.3,19.4,325,401,486
1/24/1961,27.3,19.4,334,405,486
1/25/1961,27.3,19.4,337,419,478
1/26/1961,26.1,19.4,331,419,486
1/27/1961,24.9,19.4,325,401,490
1/28/1961,24.9,18.7,317,401,478
1/29/1961,24.9,18.7,314,392,470
1/30/1961,23.7,18.7,311,387,456
1/31/1961,23.7,17.9,311,383,452
2/1/1961,22.6,17.9,306,378,449
2/2/1961,22.6,17.9,306,374,442
2/3/1961,24.9,19.4,303,374,439
2/4/1961,41.3,22.5,337,392,435
2/5/1961,155,23.2,508,630,456
2/6/1961,79.2,21.7,418,840,578
2/7/1961,50.5,19.4,398,680,850
2/8/1961,39,17.9,370,610,738
2/9/1961,34.8,17.2,348,550,622
2/10/1961,32.7,17.2,331,473,558
2/11/1961,30.6,16.4,320,414,510
2/12/1961,28.5,16.4,314,392,478
2/13/1961,27.3,16.4,303,383,456
2/14/1961,27.3,16.4,300,374,442
2/15/1961,36.9,21.7,309,383,435
2/16/1961,69.8,29.3,370,423,435
2/17/1961,75,24,356,655,470
2/18/1961,52.8,19.4,331,570,590
2/19/1961,45.9,17.9,320,515,606
2/20/1961,43.6,17.9,309,414,526
2/21/1961,41.3,17.2,303,396,486
2/22/1961,38,17.2,289,383,463
2/23/1961,34.8,16.4,286,365,449
2/24/1961,30.6,16.4,278,347,432
2/25/1961,29.5,15.9,275,338,410
2/26/1961,28.5,15.9,275,333,400
2/27/1961,28.5,15.9,275,338,391
2/28/1961,30.6,15.9,283,338,391
3/1/1961,30.6,16.4,281,347,391
3/2/1961,32.7,16.4,275,347,394
3/3/1961,30.6,15.9,275,347,400
3/4/1961,28.5,15.3,269,338,400
3/5/1961,26.1,15.3,264,320,391
3/6/1961,23.7,14.8,258,311,382
3/7/1961,22.6,14.2,252,306,373
3/8/1961,21.5,14.2,250,302,362
3/9/1961,22.6,14.2,250,293,355
3/10/1961,23.7,15.3,264,293,350
3/11/1961,51.6,17.2,275,333,348
3/12/1961,39,15.9,258,360,362
3/13/1961,30.6,15.3,247,324,404
3/14/1961,27.3,14.8,247,302,388
3/15/1961,223,15.3,395,311,365
3/16/1961,146,17.2,348,860,355
3/17/1961,71.1,16.4,300,570,786
3/18/1961,67.2,16.4,295,419,678
3/19/1961,52.8,15.3,269,387,502
3/20/1961,44.8,14.8,255,356,452
3/21/1961,39,14.2,247,329,414
3/22/1961,35.8,13.7,241,306,382
3/23/1961,32.7,13.2,239,293,360
3/24/1961,30.6,12.6,239,288,350
3/25/1961,29.6,12.6,233,284,342
3/26/1961,28.5,12.6,230,275,335
