# Time,Q BCung,Q NMuc,Q LChau,Q TBu,Q HBinh
1/1/1984,40.4,28.3,810,1020,1720
2/1/1984,38.4,27.4,708,894,1290
3/1/1984,36.7,27.4,653,832,1090
4/1/1984,35.1,27.4,612,802,997
5/1/1984,35.1,26.6,585,736,923
6/1/1984,34.2,26.6,568,695,855
7/1/1984,33.4,26.6,555,679,804
8/1/1984,33.4,25.7,544,669,800
9/1/1984,31.7,25,531,649,790
10/1/1984,30.9,25,517,634,767
11/1/1984,30.9,24.3,514,628,748
12/1/1984,30.1,24.3,504,608,724
13/01/1984,30.1,24.3,497,593,706
14/01/1984,29.2,23.6,490,588,681
15/01/1984,29.2,23.6,476,583,672
16/01/1984,28.4,23.6,463,578,664
17/01/1984,28.4,23.6,456,563,656
18/01/1984,28.4,23.6,442,553,648
19/01/1984,27.6,23.6,422,548,640
20/01/1984,27.6,22.9,456,538,632
21/01/1984,26.8,22.9,449,538,632
22/01/1984,26,22.2,436,528,632
23/01/1984,26,22.2,422,518,624
24/01/1984,26,22.2,419,518,624
25/01/1984,26,22.2,425,518,616
26/01/1984,26,21.5,415,513,601
27/01/1984,26,21.5,415,498,593
28/01/1984,26.8,21.5,408,488,586
29/01/1984,26.8,21.5,408,483,586
30/01/1984,26.8,21.5,405,478,586
31/01/1984,26,20.8,398,468,579
1/2/1984,26.8,20.8,398,463,579
2/2/1984,26.8,20.8,395,458,571
3/2/1984,26,20.1,388,458,564
4/2/1984,26,20.1,381,453,557
5/2/1984,25.3,20.1,375,448,550
6/2/1984,24.5,20.1,375,443,543
7/2/1984,23.7,20.1,368,438,535
8/2/1984,23.7,20.1,362,428,528
9/2/1984,25.3,20.1,375,418,521
10/2/1984,30.1,20.8,419,423,515
11/2/1984,30.9,20.8,408,458,521
12/2/1984,26.8,20.1,388,478,575
13/02/1984,25.3,20.1,368,458,586
14/02/1984,24.5,19.4,352,448,557
15/02/1984,23.7,19.4,342,438,543
16/02/1984,23,18.7,342,408,521
17/02/1984,22.2,18.7,335,383,505
18/02/1984,21.5,18.7,332,383,495
19/02/1984,21.5,18.1,329,378,489
20/02/1984,22.2,18.1,329,368,480
